case,rows,columns,requested_rank,measured_rank,redundant_rows,paired_output_error,consistent_feasibility_residual,fixed_f_difference,representable_target_roundtrip_error,f_vs_w_gradient_error,f_finite_difference_error,w_finite_difference_error,scaled_trajectory_error,mp_max_residual,inconsistent_tested,inconsistent_paired_error,inconsistent_residual
71,7,4,2,2,5,5.551115123125783e-17,2.498001805406602e-16,0.15605550585974703,2.7755575615628914e-17,0.0,3.061672582127528e-10,1.2139633742691558e-10,2.220446049250313e-16,2.220446049250313e-16,False,0.0,0.0
72,6,2,2,2,4,0.0,0.0,0.0,0.0,0.0,2.7755570024512523e-11,5.591116390339424e-18,0.0,2.7755575615628914e-17,True,0.0,0.34674730277231613
73,4,3,3,3,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,9.443478602453837e-18,9.443478602453837e-18,1.1102230246251565e-16,2.220446049250313e-16,False,0.0,0.0
74,3,6,3,3,0,2.220446049250313e-16,2.220446049250313e-16,0.9646160178340624,1.249000902703301e-16,0.0,1.8745202612358014e-10,3.2069324973349467e-10,3.3306690738754696e-16,1.43982048506075e-16,False,0.0,0.0
75,9,8,1,1,8,1.1102230246251565e-16,3.3306690738754696e-16,0.9118011246158514,1.3877787807814457e-17,0.0,2.678233190778201e-10,2.678233190778201e-10,3.3306690738754696e-16,2.220446049250313e-16,True,1.1102230246251565e-16,0.2514346315559728
76,5,5,2,2,3,2.220446049250313e-16,2.220446049250313e-16,0.7772739467776898,2.220446049250313e-16,0.0,1.254560899610624e-10,1.348792744160221e-10,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
77,9,2,1,1,8,0.0,2.220446049250313e-16,0.3138651147878422,0.0,0.0,5.915068435058402e-11,6.837641564061414e-11,1.1102230246251565e-16,1.1102230246251565e-16,False,0.0,0.0
78,4,4,4,4,0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-10,0.0,0.0,0.0,False,0.0,0.0
79,1,4,1,1,0,5.551115123125783e-17,0.0,0.5347164281039622,0.0,0.0,1.5914447537568321e-10,8.988765287654132e-11,3.3306690738754696e-16,0.0,False,0.0,0.0
80,8,4,3,3,5,2.220446049250313e-16,4.440892098500626e-16,0.2522857920614441,1.1102230246251565e-16,0.0,2.7842228522700907e-11,2.7842228522700907e-11,2.220446049250313e-16,4.440892098500626e-16,False,0.0,0.0
81,7,3,1,1,6,2.7755575615628914e-17,5.551115123125783e-17,0.268464131319117,0.0,0.0,7.711686844658061e-11,1.778371894189945e-11,3.3306690738754696e-16,1.1102230246251565e-16,True,2.7755575615628914e-17,0.31619739525516516
82,7,4,1,1,6,0.0,1.6653345369377348e-16,0.8212798905592512,1.1102230246251565e-16,0.0,2.6728108615259316e-10,2.6728108615259316e-10,3.469446951953614e-16,2.220446049250313e-16,False,0.0,0.0
83,9,3,2,2,7,2.220446049250313e-16,4.440892098500626e-16,0.44216763862095965,5.551115123125783e-17,0.0,4.2596162708186114e-11,8.859134259520118e-11,4.440892098500626e-16,2.220446049250313e-16,False,0.0,0.0
84,1,5,1,1,0,5.551115123125783e-17,1.1102230246251565e-16,0.907640273254364,0.0,0.0,2.1876545019949845e-10,1.773852176256696e-10,2.7755575615628914e-16,3.469446951953614e-18,False,0.0,0.0
85,4,7,3,3,1,1.1102230246251565e-16,1.1102230246251565e-16,0.45575433564293455,1.6653345369377348e-16,0.0,2.7639007749158395e-10,1.7882428871018874e-10,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
86,4,8,3,3,1,1.1102230246251565e-16,2.7755575615628914e-16,0.9502615601531068,1.1102230246251565e-16,0.0,2.694145392889702e-10,2.4160562439590194e-10,2.7755575615628914e-16,2.220446049250313e-16,False,0.0,0.0
87,1,3,1,1,0,1.1102230246251565e-16,1.1102230246251565e-16,0.6402802833525201,6.938893903907228e-17,0.0,9.029266223592458e-11,6.665656915316731e-11,2.3592239273284576e-16,1.1102230246251565e-16,False,0.0,0.0
88,2,8,2,2,0,2.220446049250313e-16,2.7755575615628914e-16,1.1643066905936414,1.1102230246251565e-16,0.0,3.537323767233147e-10,3.236281798102425e-10,4.440892098500626e-16,1.1102230246251565e-16,False,0.0,0.0
89,6,2,1,1,5,5.551115123125783e-17,1.1102230246251565e-16,0.7400926567079524,1.1102230246251565e-16,0.0,1.581401676276073e-11,4.64798755039908e-11,2.498001805406602e-16,1.1102230246251565e-16,False,0.0,0.0
90,6,5,1,1,5,1.1102230246251565e-16,1.1102230246251565e-16,0.33642385852940127,0.0,0.0,9.210310292218082e-11,9.311759349706072e-11,2.220446049250313e-16,1.1102230246251565e-16,True,5.551115123125783e-17,0.3636581459763244
91,6,3,1,1,5,1.1102230246251565e-16,1.1102230246251565e-16,0.5605444987997382,8.673617379884035e-18,0.0,1.2052481235258483e-10,1.3271594934138875e-10,2.220446049250313e-16,5.551115123125783e-17,False,0.0,0.0
